tau_D2S,F_C_lagrangian,F_V_lagrangian,F_D_parent,phi_C_eulerian,phi_V_eulerian,phi_D_eulerian
0.141486226985,7.38443829951e-06,5.0764947801e-13,0.999992615561,4.15669735009e-08,2.53826602821e-12,0.99999995843
0.150183279988,1.35780270716e-05,2.36644037699e-12,0.999986421971,7.64311305205e-08,1.18323616406e-11,0.999999923557
0.159414934363,2.41363451543e-05,1.010813655e-11,0.999975863645,1.35865653049e-07,5.05418957779e-11,0.999999864084
0.169214051657,4.15591884924e-05,3.97573085564e-11,0.999958440772,2.33944454958e-07,1.98794757994e-10,0.999999765857
0.179615513394,6.94415331007e-05,1.44680989411e-10,0.999930558322,3.90910232807e-07,7.23454901669e-10,0.999999608366
0.190656345237,0.000112791910166,4.8933496144e-10,0.9998872076,6.34971762142e-07,2.44694924492e-09,0.999999362581
0.202375848791,0.000178381229266,1.54468504654e-09,0.999821617226,1.00427797912e-06,7.724795387e-09,0.999998987997
0.214815741501,0.000275104687146,4.5692460926e-09,0.999724890744,1.54897551051e-06,2.28524814818e-08,0.999998428172
0.228020305151,0.000414334290554,1.27130923566e-08,0.999585652996,2.33323010701e-06,6.35916584411e-08,0.999997603178
0.242036543495,0.000610235960927,3.33884693227e-08,0.999389730651,3.43707570974e-06,1.67043686575e-07,0.999996395881
0.256914349571,0.000880023789028,8.30477612235e-08,0.999119893163,4.95795090452e-06,4.15602349279e-07,0.999994626447
0.272706683308,0.00124412512264,1.96249672402e-07,0.998755678628,7.01179282921e-06,9.82463017388e-07,0.999992005744
0.289469760038,0.00172623383556,4.41899904557e-07,0.998273324265,9.73358262454e-06,2.21329476854e-06,0.999988053123
0.30726325061,0.0023532350552,9.50785744025e-07,0.997645814159,1.32772715704e-05,4.7650607868e-06,0.999981957668
0.326150493797,0.00315499225969,1.95985891827e-06,0.996843047881,1.78150586699e-05,9.83005670705e-06,0.999972354885
0.346198721756,0.00416399624698,3.87992922968e-06,0.995832123824,2.35360330446e-05,1.94800018883e-05,0.999956983965
0.367479299358,0.00541488420443,7.39419279966e-06,0.994577721603,3.06442321753e-05,3.71700029446e-05,0.999932185765
0.390067978216,0.00694384517272,1.35949656746e-05,0.993042559862,3.93561943882e-05,6.84436935952e-05,0.999892200112
0.414045166341,0.0087879349305,2.41647845706e-05,0.991187900285,4.98980969816e-05,0.000121877161997,0.999828224741
0.439496214364,0.0109843282401,4.16054459186e-05,0.988974066314,6.25025678697e-05,0.000210289115336,0.999727208317
0.466511719355,0.0135695392222,6.95145558338e-05,0.986360946222,7.74052387279e-05,0.000352227500343,0.999570367261
0.495187847318,0.0165786413224,0.000112903983538,0.983308454694,9.4841073907e-05,0.00057371875494,0.999331440171
0.525626675511,0.0200445170339,0.000178548732384,0.979776934234,0.000115040466596,0.000910236117617,0.998974723416
0.557936555805,0.0239971645583,0.000275348854051,0.975727486588,0.000138225048455,0.00140880975257,0.998452965199
0.592232500377,0.028463084295,0.000414681925034,0.97112223378,0.000164603119017,0.00213016606633,0.997705230815
0.628636591122,0.0334647629125,0.000610720047815,0.96592451704,0.000194364574978,0.00315074888991,0.996654886535
0.667278414213,0.0390202671952,0.00088068394444,0.96009904886,0.00022767521511,0.0045644436547,0.99520788113
0.708295521392,0.0451429542865,0.00124500783059,0.953612037883,0.000264670321274,0.00648379992683,0.993251529752
0.751833919603,0.0518412997012,0.00172739242833,0.946431307871,0.000305447474982,0.00904053068714,0.990654021838
0.798048590727,0.0591188398069,0.00235472940811,0.938526430785,0.000350058664879,0.0123850622009,0.987264879134
0.847104043268,0.0669742215634,0.00315688818459,0.929868890252,0.000398501871781,0.0166849206507,0.982916577478
0.899174897943,0.075401349233,0.00416636457612,0.920432286191,0.000450712477831,0.0221217759366,0.977427511586
0.954446509277,0.0843896155845,0.00541779954548,0.91019258487,0.000506555021608,0.0288870240942,0.970606420884
1.0131156254,0.0939242037499,0.00694738426105,0.899128411989,0.000565815990993,0.0371758811061,0.962258302903
1.07539108839,0.103986445294,0.0087921743599,0.887221380346,0.000628198482675,0.0471800826802,0.952191718837
1.14149457772,0.114554220118,0.0109893410364,0.874456438846,0.000693319628909,0.0590794316823,0.940227248689
1.2116613993,0.125602384406,0.0135753891058,0.860822226488,0.000760711666154,0.0730325952561,0.926206693078
1.28614132316,0.137103213831,0.0165853723954,0.846311413773,0.000829827370744,0.0891677077447,0.910002464885
