branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
overdense,3.47486634,8.84086499,-0.493181348,-0.165866723,1.20651814
overdense,3.499784,9.18632862,-0.539923102,-0.178139784,1.21672759
overdense,3.52470166,9.55039672,-0.588361001,-0.190385194,1.22684872
overdense,3.54961932,9.93429378,-0.638572479,-0.202601053,1.23687977
overdense,3.57453698,10.3393392,-0.690639285,-0.214785464,1.24681905
overdense,3.59945464,10.7669558,-0.744647757,-0.226936535,1.25666487
overdense,3.62437229,11.218679,-0.800689135,-0.239052382,1.2664156
overdense,3.64928995,11.6961669,-0.858859881,-0.251131122,1.27606965
overdense,3.67420761,12.2012121,-0.919262036,-0.263170882,1.28562545
overdense,3.69912527,12.7357535,-0.982003599,-0.275169793,1.2950815
overdense,3.72404293,13.3018904,-1.04719893,-0.287125991,1.30443631
overdense,3.74896059,13.9018978,-1.11496921,-0.299037622,1.31368846
overdense,3.77387825,14.5382428,-1.18544291,-0.310902836,1.32283656
overdense,3.79879591,15.2136035,-1.25875627,-0.322719792,1.33187925
overdense,3.82371357,15.93089,-1.33505394,-0.334486654,1.34081523
overdense,3.84863122,16.6932666,-1.41448951,-0.346201598,1.34964324
overdense,3.87354888,17.5041779,-1.49722621,-0.357862804,1.35836206
overdense,3.89846654,18.3673773,-1.58343758,-0.369468462,1.36697052
overdense,3.9233842,19.286958,-1.67330828,-0.381016772,1.37546749
overdense,3.94830186,20.2673891,-1.76703493,-0.39250594,1.38385189
overdense,3.97321952,21.3135543,-1.86482699,-0.403934182,1.39212268
overdense,3.99813718,22.4307966,-1.96690776,-0.415299726,1.40027887
overdense,4.02305484,23.6249675,-2.07351548,-0.426600807,1.40831952
overdense,4.0479725,24.9024821,-2.1849045,-0.437835671,1.41624373
overdense,4.07289015,26.2703817,-2.30134655,-0.449002574,1.42405066
overdense,4.09780781,27.7364035,-2.42313216,-0.460099783,1.43173949
overdense,4.12272547,29.3090591,-2.55057218,-0.471125574,1.43930949
overdense,4.14764313,30.9977235,-2.68399947,-0.482078237,1.44675994
overdense,4.1787902,33.287542,-2.85974907,-0.495663641,1.4559039
overdense,4.20370786,35.2766782,-3.00799158,-0.506445567,1.46308305
overdense,4.22862552,37.4195564,-3.16347865,-0.517148883,1.47014071
overdense,4.25354318,39.7305093,-3.3266595,-0.527771927,1.47707638
overdense,4.27846084,42.2254296,-3.49801724,-0.538313049,1.48388963
overdense,4.3033785,44.9219644,-3.67807193,-0.548770615,1.49058005
overdense,4.32829616,47.8397365,-3.86738387,-0.559143,1.49714731
overdense,4.35321382,51.0005967,-4.06655734,-0.569428594,1.50359111
overdense,4.37813148,54.4289138,-4.27624465,-0.579625802,1.50991121
overdense,4.40304913,58.1519051,-4.49715062,-0.58973304,1.51610743
overdense,4.42796679,62.2000181,-4.73003767,-0.599748739,1.52217963
overdense,4.45288445,66.6073674,-4.97573128,-0.609671345,1.52812772
overdense,4.47780211,71.4122397,-5.23512625,-0.619499318,1.53395167
overdense,4.50271977,76.6576773,-5.50919354,-0.629231132,1.5396515
overdense,4.52763743,82.3921517,-5.79898795,-0.638865276,1.54522728
overdense,4.55255509,88.6703472,-6.1056567,-0.648400255,1.55067914
overdense,4.57747275,95.5540693,-6.43044901,-0.657834589,1.55600724
overdense,4.60239041,103.113305,-6.77472685,-0.667166814,1.56121182
overdense,4.62730806,111.42746,-7.13997699,-0.676395481,1.56629316
overdense,4.65222572,120.586803,-7.52782453,-0.685519158,1.5712516
overdense,4.67714338,130.694171,-7.9400482,-0.694536428,1.5760875
overdense,4.70206104,141.86696,-8.37859751,-0.703445892,1.58080133
