seed,persistence_rms,D,n_basins,coarse_rms,trace_error,volume_closure,single_stream_volume_fraction,kinematic_upper_bound_volume_fraction,instantaneous_active_volume_fraction,absorbing_active_volume_fraction,n_instantaneous_active,n_ever_active,median_gamma_active,median_R_active_hMpc,median_density_ratio_all,median_Hratio_all
47,0.1,0.5,1158,0.7769733833850085,1.5543122344752192e-15,1.0000000000219182,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0318524142466337,0.986906088919228
47,0.1,0.75,1158,0.7769733833850085,1.5543122344752192e-15,1.0000000000612175,0.8337472575276055,0.0114553967438707,0.0114553967438707,0.0114553967438707,8,8,1.4078855326887478,15.112640500454706,1.055364079093048,0.972343485614463
47,0.1,1.0,1158,0.7769733833850085,1.5543122344752192e-15,1.0000000001299887,0.20010844855690751,0.03657263374204463,0.015163992855270075,0.01957792552964042,14,15,1.6036659427274318,15.145515376955476,1.0846864302398604,0.9545295678472518
47,0.2,0.25,871,0.7769733833850085,1.5543122344752192e-15,1.0000000000041571,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0130346048543268,0.9946886618538023
47,0.2,0.5,871,0.7769733833850085,1.5543122344752192e-15,1.0000000000219182,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0324398648335547,0.9870316136520451
47,0.2,0.75,871,0.7769733833850085,1.5543122344752192e-15,1.0000000000612175,0.8016000273381345,0.004284761328668607,0.004284761328668607,0.004284761328668607,3,3,1.1944451724628196,17.120206048199808,1.055326867277486,0.975184503944146
47,0.2,1.0,871,0.7769733833850085,1.5543122344752192e-15,1.0000000001299887,0.1456110872132443,0.014988209264784181,0.007301530918405529,0.007301530918405529,6,6,1.4487377031720408,16.214895713220905,1.0833645801790992,0.9571945180034972
91,0.0,0.25,1630,0.7770293471976112,1.5543122344752192e-15,1.0000000000042564,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0251538246807943,0.9908411953660471
91,0.0,0.5,1630,0.7770293471976112,1.5543122344752192e-15,1.0000000000235554,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0566718373779715,0.9757758710890585
91,0.0,0.75,1630,0.7770293471976112,1.5543122344752192e-15,1.0000000000676919,0.8509629177095439,0.013311332070382318,0.013311332070382318,0.013311332070382318,7,7,1.358919649063011,20.198206875356046,1.102594438138031,0.9549026010163232
91,0.0,1.0,1630,0.7770293471976112,1.5543122344752192e-15,1.0000047543513053,0.268699532765741,0.05510375631502982,0.026449251174938605,0.03559862301638648,22,25,1.4994505864537895,15.57704910302861,1.1576491134234854,0.9295324895008356
91,0.1,0.25,1143,0.7770293471976112,1.5543122344752192e-15,1.0000000000042564,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0218327373284055,0.9914899207941931
91,0.1,0.5,1143,0.7770293471976112,1.5543122344752192e-15,1.0000000000235554,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0523547689211783,0.9791960460793888
91,0.1,0.75,1143,0.7770293471976112,1.5543122344752192e-15,1.0000000000676919,0.8116972382912406,0.007297588255497804,0.007297588255497804,0.007297588255497804,3,3,1.379311695198195,15.821630833317428,1.0889532449862658,0.9628886168447167
91,0.1,1.0,1143,0.7770293471976112,1.5543122344752192e-15,1.0000000001464602,0.19529420980348508,0.041631816409032164,0.008066833304356702,0.015541807382909913,7,9,1.4795270887644163,16.64553890881631,1.1341900032432237,0.9413443098769603
91,0.2,0.25,864,0.7770293471976112,1.5543122344752192e-15,1.0000000000042566,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0200378729621842,0.992781238892229
91,0.2,0.5,864,0.7770293471976112,1.5543122344752192e-15,1.0000000000235554,1.0,0.0,0.0,0.0,0,0,nan,nan,1.0443338963940474,0.98192350267411
91,0.2,0.75,864,0.7770293471976112,1.5543122344752192e-15,1.0000000000676919,0.7731849591554253,0.005757599212196811,0.005757599212196811,0.005757599212196811,1,1,1.379311695198195,28.46367065289025,1.077100340471689,0.9680131218120654
91,0.2,1.0,864,0.7770293471976112,1.5543122344752192e-15,1.0000000001464604,0.14330411863618728,0.024859636022847024,0.002613916044692187,0.009424695586849434,1,2,1.1631541150696973,21.87632199501111,1.1177753156674393,0.9487193459436631
