seed,strength,passive_gaussian_fraction,explicit_repulsive_fraction,passive_energy,repulsive_energy
47,0.18,0.395,0.2925,-0.08860827207910327,-0.06783227563939251
47,0.2,0.4,0.285,-0.09020155346333304,-0.06700877661691912
47,0.22,0.425,0.2825,-0.09193301101718833,-0.06620477595725797
47,0.24,0.4325,0.28,-0.09374280898769667,-0.06541265236811628
47,0.26,0.4325,0.275,-0.09561337148769666,-0.06464549273050005
47,0.28,0.445,0.275,-0.0975622082912623,-0.06388924273050005
47,0.3,0.4575,0.27,-0.0996186514055944,-0.06315084710450926
47,0.32,0.485,0.265,-0.101807715357789,-0.06242877827607727
47,0.34,0.52,0.265,-0.1043542664438935,-0.06172652827607727
47,0.36,0.5475,0.2625,-0.10726042463661059,-0.061031954109908026
47,0.38,0.585,0.2575,-0.11047616213722888,-0.0603534746448904
47,0.4,0.5975,0.2575,-0.11396887789405366,-0.059690412144890403
47,0.42,0.6325,0.255,-0.11772035534770167,-0.05903108418135399
47,0.44,0.645,0.2475,-0.12176409414831942,-0.05840311499052937
47,0.46,0.6625,0.2475,-0.1260304059508581,-0.05779055249052937
47,0.48,0.6775,0.24,-0.13049580252483314,-0.05719766623439493
47,0.5,0.6925,0.235,-0.13517157974948651,-0.056628235022993044
47,0.52,0.7175,0.235,-0.14016020121066183,-0.05607598502299305
47,0.54,0.765,0.2275,-0.1455958863101647,-0.05554241884381042
47,0.56,0.8075,0.2225,-0.15181954720140306,-0.055038347622856684
47,0.58,0.8425,0.2225,-0.15853331794899542,-0.054543285122856694
47,0.6,0.85,0.2175,-0.16568372796779798,-0.054060395057167136
47,0.62,0.8775,0.2125,-0.17305805636312993,-0.05359738065541626
47,0.64,0.89,0.21,-0.18086000131806465,-0.05315354267322214
47,0.66,0.9,0.2075,-0.18887837226955045,-0.052721722102886136
47,0.68,0.905,0.2025,-0.19702312489200735,-0.052302608151472
47,0.7000000000000001,0.91,0.2,-0.20524483992980594,-0.051893575729038396
47,0.72,0.92,0.1975,-0.2136078242689436,-0.05149900649965613
47,0.74,0.935,0.195,-0.2222161939711541,-0.051115024977744616
47,0.76,0.9675,0.1925,-0.23144225522737738,-0.0507398160772037
47,0.78,0.97,0.1925,-0.24084906982684234,-0.050369253577203704
47,0.8,0.975,0.19,-0.2503189376755061,-0.049999915668798196
47,0.8200000000000001,0.9825,0.19,-0.25989076218636864,-0.049638915668798196
47,0.84,0.9825,0.185,-0.2695438246863686,-0.04928804192162024
47,0.86,0.9875,0.1825,-0.2792417012415347,-0.04895025408780476
47,0.88,0.9875,0.1825,-0.28899326374153467,-0.04861719158780476
47,0.9,0.99,0.18,-0.29876688940963647,-0.048285160661197854
47,0.92,0.9925,0.1775,-0.3086066325780094,-0.047964450616618914
47,0.9400000000000001,0.9925,0.175,-0.3184571950780094,-0.047651591208308086
47,0.96,0.995,0.175,-0.3283087575997392,-0.047345341208308085
47,0.98,1.0,0.1725,-0.33828412519474993,-0.0470417055037097
47,1.0,1.0,0.1725,-0.34828412519474994,-0.0467441430037097
47,1.02,1.0,0.1725,-0.35828412519474995,-0.0464465805037097
47,1.04,1.0,0.1725,-0.36828412519474996,-0.0461490180037097
47,1.06,1.0,0.1725,-0.37828412519474997,-0.0458514555037097
47,1.08,1.0,0.17,-0.38828412519475,-0.045555562400658105
47,1.1,1.0,0.1675,-0.39828412519475,-0.04526670646254598
47,1.12,1.0,0.1675,-0.40828412519475,-0.04498614396254598
47,1.1400000000000001,1.0,0.165,-0.41828412519475,-0.04470826842238569
47,1.16,1.0,0.165,-0.4282841251947499,-0.0444360184223857
47,1.18,1.0,0.1625,-0.4382841251947499,-0.044171619266733166
47,1.2,1.0,0.16,-0.4482841251947499,-0.043914126743054074
47,1.22,1.0,0.16,-0.4582841251947499,-0.04365812674305407
47,1.24,1.0,0.16,-0.46828412519474993,-0.043402126743054076
47,1.26,1.0,0.1575,-0.47828412519474994,-0.04315042413286628
47,1.28,1.0,0.1575,-0.48828412519474995,-0.04290236163286628
47,1.3,1.0,0.1575,-0.49828412519474996,-0.04265429913286628
47,1.32,1.0,0.155,-0.50828412519475,-0.042409884096078196
47,1.34,1.0,0.155,-0.51828412519475,-0.0421696340960782
47,1.36,1.0,0.155,-0.52828412519475,-0.0419293840960782
47,1.3800000000000001,1.0,0.155,-0.53828412519475,-0.0416891340960782
47,1.4000000000000001,1.0,0.1525,-0.54828412519475,-0.04145556689586807
47,1.42,1.0,0.15,-0.5582841251947499,-0.041227748820304694
47,1.44,1.0,0.15,-0.5682841251947499,-0.0410027488203047
47,1.46,1.0,0.1475,-0.5782841251947499,-0.04078192799959468
47,1.48,1.0,0.1475,-0.5882841251947499,-0.040564365499594676
47,1.5,1.0,0.1475,-0.5982841251947499,-0.04034680299959467
47,1.52,1.0,0.145,-0.60828412519475,-0.04013652927669492
47,1.54,1.0,0.1425,-0.61828412519475,-0.0399273828053699
47,1.56,1.0,0.1425,-0.62828412519475,-0.0397243203053699
47,1.58,1.0,0.1425,-0.63828412519475,-0.0395212578053699
47,1.6,1.0,0.1425,-0.64828412519475,-0.0393181953053699
47,1.62,1.0,0.1425,-0.65828412519475,-0.0391151328053699
47,1.6400000000000001,1.0,0.1425,-0.66828412519475,-0.0389120703053699
47,1.6600000000000001,1.0,0.1425,-0.67828412519475,-0.0387090078053699
47,1.68,1.0,0.1425,-0.6882841251947499,-0.0385059453053699
47,1.7,1.0,0.14,-0.6982841251947499,-0.038304673665586174
47,1.72,1.0,0.14,-0.7082841251947499,-0.03810867366558617
47,1.74,1.0,0.14,-0.7182841251947499,-0.03791267366558618
47,1.76,1.0,0.1375,-0.7282841251947499,-0.03772308603420163
47,1.78,1.0,0.1375,-0.73828412519475,-0.03753402353420163
47,1.8,1.0,0.135,-0.74828412519475,-0.03734932263246364
91,0.0,0.3,0.3,-0.06026598600440652,-0.06026598600440652
91,0.02,0.305,0.2925,-0.0611895413298544,-0.05938962587309281
91,0.04,0.3125,0.285,-0.062133735301297406,-0.05855473156509984
91,0.06,0.32,0.285,-0.06313262941248814,-0.05774248156509984
91,0.08,0.33,0.2825,-0.0641834380028283,-0.05694396599045557
91,0.1,0.33,0.28,-0.0652724380028283,-0.05614832388749398
91,0.12,0.335,0.275,-0.06638299759533449,-0.05538831863518264
91,0.14,0.3375,0.2725,-0.06751418370598745,-0.05463753598396388
91,0.16,0.34,0.265,-0.06866494527640468,-0.05392151153877243
91,0.18,0.365,0.26,-0.06990951248573356,-0.05323382548817528
91,0.2,0.385,0.255,-0.07129575053320482,-0.05257161493188325
91,0.22,0.4,0.25,-0.0728438798669453,-0.05193532250402373
91,0.24,0.4175,0.2475,-0.07450681493890166,-0.05131628980797619
91,0.26,0.425,0.2425,-0.07628248746777112,-0.050715330247547125
91,0.28,0.4375,0.2375,-0.07815826795465053,-0.05014359463532977
91,0.3,0.445,0.2325,-0.08011318259339989,-0.04959511461523601
91,0.32,0.45,0.2275,-0.08212057081400126,-0.049066198319748164
91,0.34,0.47,0.2225,-0.08423462271713941,-0.048565100044084146
91,0.36,0.475,0.22,-0.0864660742348507,-0.04807771571722962
