omega,k,ReG,ImG,S_chichi,Theta_recovered
2.706641604010025,0.0,0.0861179038077436,0.12575807229882555,0.0278776633254677,0.30000000000000004
2.7266165413533834,0.0,0.08522126920203577,0.12551413110197726,0.027619754196828213,0.29999999999999993
2.746591478696742,0.0,0.08433458740733729,0.12526611023485654,0.027364705207844457,0.30000000000000004
2.7665664160401,0.0,0.08345776357934746,0.12501416963435946,0.027112489093241595,0.30000000000000004
2.786541353383458,0.0,0.08259070241553267,0.12475846499478564,0.026863078456015477,0.3
2.8065162907268166,0.0,0.08173330823792274,0.12449914785724528,0.02661644579123461,0.29999999999999993
2.826491228070175,0.0,0.08088548507182326,0.12423636569829043,0.026372563508668196,0.3
2.8464661654135335,0.0,0.08004713672059317,0.12397026201769974,0.026131403954282963,0.3000000000000001
2.866441102756892,0.0,0.07921816683663267,0.12370097642535226,0.02589293943065055,0.30000000000000004
2.8864160401002503,0.0,0.07839847898872251,0.12342864472713216,0.025657142216306137,0.3000000000000001
2.9063909774436087,0.0,0.07758797672585321,0.12315339900981179,0.025423984584097736,0.29999999999999993
2.926365914786967,0.0,0.0767865636376778,0.12287536772486633,0.02519343881856512,0.30000000000000004
2.9463408521303256,0.0,0.07599414341171913,0.12259467577117825,0.024965477232385503,0.3
2.966315789473684,0.0,0.07521061988745864,0.12231144457659433,0.024740072181922916,0.3
2.9862907268170424,0.0,0.07443589710742968,0.12202579217830307,0.024517196081916322,0.3
3.006265664160401,0.0,0.0736698793654354,0.12173783330200406,0.0242968214193412,0.29999999999999993
3.0262406015037593,0.0,0.07291247125200714,0.12144767943984514,0.024078920766477784,0.3
3.0462155388471177,0.0,0.0721635776972159,0.1211554389271065,0.02386346679321835,0.3000000000000001
3.0661904761904757,0.0,0.07142310401094604,0.1208612170176153,0.02365043227864502,0.3
3.086165413533834,0.0,0.07069095592073674,0.12056511595787608,0.023439790121908385,0.3000000000000001
3.1061403508771925,0.0,0.0699670396072934,0.12026723505990661,0.023231513352436076,0.30000000000000004
3.126115288220551,0.0,0.06925126173776798,0.11996767077277108,0.023025575139500203,0.29999999999999993
3.1460902255639094,0.0,0.06854352949690332,0.11966651675280505,0.022821948801170677,0.30000000000000004
3.166065162907268,0.0,0.06784375061613442,0.11936386393252892,0.02262060781268102,0.3
3.1860401002506262,0.0,0.0671518334007353,0.11905980058824954,0.022421525814232623,0.3
3.2060150375939847,0.0,0.0664676867550977,0.11875441240635072,0.022224676618261694,0.29999999999999993
3.225989974937343,0.0,0.06579122020622441,0.118447782548276,0.022030034216193106,0.30000000000000004
3.2459649122807015,0.0,0.06512234392551758,0.11813999171420857,0.021837572784704,0.30000000000000004
3.26593984962406,0.0,0.06446096874893886,0.11783111820545468,0.0216472666915194,0.2999999999999999
3.2859147869674183,0.0,0.06380700619561591,0.11752123798553862,0.021459090500761165,0.3
3.3058897243107768,0.0,0.06316036848496662,0.11721042474001848,0.021273018977870758,0.3
3.325864661654135,0.0,0.06252096855241032,0.11689874993503334,0.021089027094125922,0.3
