omega,k,ReG,ImG
0.8200000000000001,0.0,0.21505118171373136,0.08876785959051649
0.8300000000000001,0.0,0.21431069282785145,0.08955588803624001
0.84,0.0,0.21356614466750962,0.09033518583158168
0.85,0.0,0.21281766526024173,0.09110574675591422
0.86,0.0,0.21206538187121726,0.09186756672814478
0.87,0.0,0.2113094209660577,0.09262064377295258
0.88,0.0,0.21054990817486108,0.09336497798646606
0.89,0.0,0.20978696825743468,0.09410057150142119
0.9,0.0,0.20902072506973632,0.09482742845184125
0.91,0.0,0.20825130153152116,0.09554555493727772
0.92,0.0,0.20747881959519376,0.09625495898665216
0.93,0.0,0.20670340021585926,0.09695565052173706
0.9400000000000001,0.0,0.20592516332257046,0.09764764132031442
0.9500000000000001,0.0,0.20514422779076355,0.0983309449790486
0.96,0.0,0.20436071141587567,0.09900557687611056
0.97,0.0,0.20357473088813588,0.09967155413358883
0.98,0.0,0.2027864017685207,0.10032889557972278
0.99,0.0,0.20199583846586308,0.10097762171099164
1.0,0.0,0.20120315421510446,0.10161775465409317
1.01,0.0,0.20040846105667776,0.10224931812784442
1.02,0.0,0.1996118698170078,0.10287233740503597
1.03,0.0,0.1988134900901166,0.10348683927427078
1.04,0.0,0.1980134302203181,0.10409285200181706
1.05,0.0,0.19721179728598806,0.10469040529350462
1.06,0.0,0.19640869708439318,0.1052795302566926
1.07,0.0,0.1956042341175626,0.10586025936233537
1.08,0.0,0.19479851157918585,0.10643262640717363
1.09,0.0,0.19399163134251943,0.10699666647607535
1.1,0.0,0.1931836939492833,0.10755241590455089
1.11,0.0,0.1923747985995308,0.10809991224146673
1.12,0.0,0.191565043142471,0.10863919421197885
1.1300000000000001,0.0,0.1907545240682266,0.10917030168070901
1.1400000000000001,0.0,0.18994333650050604,0.10969327561518338
1.1500000000000001,0.0,0.1891315741901715,0.11020815804955399
1.16,0.0,0.18831932950968172,0.11071499204862165
1.17,0.0,0.1875066934483904,0.11121382167217883
1.18,0.0,0.1866937556086789,0.11170469193968878
1.19,0.0,0.18588060420290317,0.11218764879531787
1.2,0.0,0.18506732605113435,0.11266273907333665
1.21,0.0,0.18425400657967148,0.11313001046390325
1.22,0.0,0.18344072982030657,0.11358951147924407
1.23,0.0,0.1826275784103199,0.1140412914202436
1.24,0.0,0.18181463359318595,0.11448540034345626
1.25,0.0,0.1810019752199677,0.11492188902855091
1.26,0.0,0.18018968175137953,0.11535080894619895
1.27,0.0,0.17937783026049753,0.1157722122264158
1.28,0.0,0.17856649643609593,0.11618615162736412
1.29,0.0,0.17775575458659024,0.11659268050462823
1.3,0.0,0.17694567764456537,0.11699185278096583
1.31,0.0,0.17613633717186933,0.11738372291654525
1.32,0.0,0.1753278033652516,0.1177683458796735
1.33,0.0,0.17452014506252697,0.11814577711802111
1.34,0.0,0.173713429749244,0.11851607253034843
1.35,0.0,0.1729077235658395,0.11887928843873767
1.36,0.0,0.17210309131525936,0.11923548156133482
1.37,0.0,0.17129959647102613,0.11958470898560372
1.3800000000000001,0.0,0.1704973011857353,0.11992702814209545
1.3900000000000001,0.0,0.16969626629996087,0.12026249677873475
1.4000000000000001,0.0,0.16889655135155276,0.12059117293562521
1.41,0.0,0.1680982145853072,0.12091311492037352
1.42,0.0,0.16730131296299264,0.12122838128393401
1.43,0.0,0.16650590217371447,0.12153703079697314
1.44,0.0,0.1657120366446001,0.12183912242675322
1.45,0.0,0.16491976955178858,0.1221347153145348
1.46,0.0,0.16412915283170823,0.12242386875349653
1.47,0.0,0.16334023719262544,0.12270664216717007
1.48,0.0,0.1625530721264499,0.122983095088389
1.49,0.0,0.16176770592077977,0.12325328713874828
1.5,0.0,0.1609841856711723,0.12351727800857208
1.51,0.0,0.16020255729362498,0.12377512743738671
1.52,0.0,0.1594228655372526,0.12402689519489482
1.53,0.0,0.15864515399714654,0.12427264106244795
1.54,0.0,0.15786946512740196,0.12451242481501235
1.55,0.0,0.15709584025430032,0.12474630620362484
1.56,0.0,0.15632431958963333,0.12497434493833327
1.57,0.0,0.15555494224415645,0.1251966006716175
1.58,0.0,0.1547877462411589,0.12541313298228532
1.59,0.0,0.15402276853013885,0.12562400135983845
1.6,0.0,0.15326004500057175,0.12582926518930357
1.61,0.0,0.15249961049576063,0.1260289837365217
1.62,0.0,0.15174149882675741,0.12622321613389137
1.6300000000000001,0.0,0.15098574278634475,0.12641202136655907
1.6400000000000001,0.0,0.15023237416306792,0.12659545825905116
1.6500000000000001,0.0,0.14948142375530718,0.12677358546234066
1.6600000000000001,0.0,0.14873292138538047,0.12694646144134344
1.67,0.0,0.14798689591366773,0.12711414446283661
1.68,0.0,0.14724337525274753,0.1272766925837929
1.69,0.0,0.1465023863815376,0.12743416364012486
1.7,0.0,0.14576395535943068,0.12758661523583162
1.71,0.0,0.14502810734041804,0.12773410473254168
1.72,0.0,0.1442948665871925,0.1278766892394453
1.73,0.0,0.1435642564852242,0.12801442560360934
1.74,0.0,0.142836299556801,0.12814737040066745
1.75,0.0,0.14211101747502808,0.12827557992587962
1.76,0.0,0.14138843107777868,0.12839911018555292
1.77,0.0,0.14066856038159106,0.12851801688881787
1.78,0.0,0.13995142459550455,0.12863235543975216
1.79,0.0,0.1392370421348299,0.12874218092984596
1.8,0.0,0.138525430634848,0.12884754813080118
1.81,0.0,0.13781660696443152,0.12894851148765768
1.82,0.0,0.13711058723958525,0.12904512511224042
1.83,0.0,0.13640738683689965,0.12913744277691944
1.84,0.0,0.13570702040691376,0.12922551790867684
1.85,0.0,0.13500950188738275,0.12930940358347343
1.86,0.0,0.1343148445164462,0.12938915252090832
1.87,0.0,0.13362306084569378,0.12946481707916502
1.8800000000000001,0.0,0.1329341627531238,0.12953644925023677
1.8900000000000001,0.0,0.1322481614559925,0.12960410065542535
1.9000000000000001,0.0,0.1315650675235495,0.12966782254110595
1.9100000000000001,0.0,0.13088489088965766,0.12972766577475178
1.92,0.0,0.13020764086529402,0.12978368084121272
1.93,0.0,0.12953332615092902,0.12983591783924037
1.94,0.0,0.12886195484878213,0.12988442647825424
1.95,0.0,0.12819353447495124,0.12992925607534234
1.96,0.0,0.12752807197141372,0.1299704555524899
1.97,0.0,0.12686557371789778,0.1300080734340306
1.98,0.0,0.12620604554362153,0.13004215784431378
