alpha,max_real_eigenvalue,min_hessian_eigenvalue
1.06,-0.5145622551528539,0.6806594601339748
1.08,-0.5100561815485205,0.6751712409105339
1.1,-0.5055728090000841,0.6696994782276873
1.12,-0.5011117978302306,0.664244024931418
1.1400000000000001,-0.4966728167491028,0.6588047360478031
1.16,-0.4922555425671827,0.6533814687380612
1.18,-0.4878596599206897,0.6479740822547866
1.2,-0.4834848610088321,0.642582437899329
1.22,-0.47913084534229294,0.6372063989802843
1.24,-0.4747973195023698,0.6318458307730594
1.26,-0.4704839969102199,0.6265006004804805
1.28,-0.4661905976056999,0.6211705771944064
1.3,-0.46191684803531413,0.6158556318583228
1.32,-0.45766248084882033,0.6105556372308815
1.34,-0.45342723470406143,0.6052704678503582
1.36,-0.4492108540796229,0.6
1.3800000000000001,-0.4450130890949342,0.5947441116742349
1.4000000000000001,-0.44083369533745614,0.5895026825457199
1.42,-0.43667243369661646,0.5842755939331985
1.44,-0.4325290702041741,0.5790627287701454
1.46,-0.4284033758807105,0.5738639715741777
1.48,-0.42429512658796265,0.5686792084172034
1.5,-0.4202041028867288,0.5635083268962917
1.52,-0.4161300899000926,0.5583512161052402
1.54,-0.4120728771817224,0.5532077666068214
1.56,-0.4080322585890205,0.5480778704056866
1.58,-0.4040080321609015,0.5429614209219072
1.6,-0.4,0.5378583129651415
1.62,-0.3960079681591094,0.5327684427093998
1.6400000000000001,-0.3920317465316678,0.5276917076683979
1.6600000000000001,-0.38807114874611864,0.522628006671481
1.68,-0.3841259920639765,0.5175772398400991
1.7,-0.380196097281443,0.5125393085648211
1.72,-0.3762812886344219,0.5075141154828725
1.74,-0.37238139370678974,0.5025015644561821
1.76,-0.36849624334178993,0.49750156054992134
1.78,-0.36462567155641734,0.492514010011527
1.8,-0.3607695154586736,0.4875388202501893
1.82,-0.35692761516757615,0.4825758998167985
1.84,-0.353099813735808,0.4776251583843315
1.86,-0.34928595707490423,0.4726865067286708
1.8800000000000001,-0.3454858938828747,0.46775985670984244
1.9000000000000001,-0.34169947557416364,0.46284512125366356
1.92,-0.3379265562118598,0.4579422143337863
1.94,-0.3341669924420619,0.4530510509541281
1.96,-0.330420643430325,0.44817154713168095
1.98,-0.3266873708001009,0.4433036198796867
2.0,-0.3229670385730991,0.43844718719116965
2.02,-0.3192595131114965,0.43360216802281765
2.04,-0.3155646630619234,0.4287684822792021
2.06,-0.3118823593011645,0.42394605079733055
2.08,-0.30821247488350545,0.4191347953315187
2.1,-0.3045548849896677,0.4143346385385789
2.12,-0.3009094668772731,0.4095455039633128
2.14,-0.29727609983278225,0.40476731602430355
2.16,-0.2936546651248535,0.39999999999999997
2.18,-0.2900450459590713,0.39524348201508114
2.2,-0.2864471274339956,0.3904976890271013
2.22,-0.28286079649848483,0.3857625488134026
2.24,-0.2792859419102479,0.38103798995829075
2.2600000000000002,-0.2757224541955843,0.3763239418404698
2.2800000000000002,-0.27217022561026516,0.37162033462072364
2.3000000000000003,-0.268629150101524,0.3669270992298458
2.32,-0.2650991232711115,0.3622441673568051
2.34,-0.2615800423393835,0.35757147143714507
2.36,-0.25807180611038427,0.35290894464161104
2.38,-0.25457431493789173,0.3482565208649988
2.4,-0.2510874706923941,0.3436141347152174
2.42,-0.24761117672896538,0.3389817215025689
2.44,-0.24414533785600878,0.33435921722922846
2.46,-0.24068986030484485,0.3297465585789294
2.48,-0.23724465170010944,0.3251436829068455
2.5,-0.23380962103093983,0.3205505282296631
2.52,-0.23038467862292433,0.31596703321584463
2.54,-0.22696973611078564,0.3113931371760711
2.56,-0.2235647064117806,0.30682878005386915
2.58,-0.22016950369978994,0.30227390241640895
2.6,-0.21678404338007684,0.29772844544547594
2.62,-0.213408242064694,0.29319235092860885
2.64,-0.2100420175485186,0.2886655612504019
2.66,-0.2066852887858962,0.28414801938396617
2.68,-0.20333797586787272,0.2796396688825482
2.7,-0.19999999999999996,0.27514045387130104
2.72,-0.19667128348069396,0.27065031903920467
2.74,-0.19335174968013147,0.2661692096311322
2.7600000000000002,-0.19004132301966603,0.2616970714400607
2.7800000000000002,-0.18673992895175173,0.2572338507994196
2.8000000000000003,-0.1834474939403561,0.2527794945755768
2.82,-0.18016394544184755,0.24833395016045945
2.84,-0.17688921188634754,0.2438971654643045
2.86,-0.17362322265952868,0.2394690889085369
2.88,-0.1703659080848482,0.23504966941877503
2.9,-0.16711719940620473,0.23063885641795667
2.92,-0.16387702877100463,0.22623659981958544
2.94,-0.1606453292136265,0.2218428500210965
2.96,-0.15742203463927473,0.21745755789733456
2.98,-0.15420707980820514,0.21308067479414583
3.0,-0.15100040032032047,0.2087121525220802
3.02,-0.14780193260011765,0.20435194335020068
3.04,-0.14461161388198274,0.20000000000000007
3.06,-0.14142938219581813,0.19565627563941745
3.08,-0.13825517635299978,0.19132072387696086
3.1,-0.13508893593264815,0.1869932987559244
3.12,-0.13193060126821132,0.1826739547487065
3.14,-0.1287801134343437,0.17836264675122016
3.16,-0.1256374142340807,0.1740593300773986
3.18,-0.12250244618629502,0.16976396045379116
3.2,-0.11937515251343034,0.16547649401424958
3.22,-0.11625547712950302,0.16119688729470005
3.24,-0.11314336462836705,0.15692509722800363
3.2600000000000002,-0.11003876027223203,0.15266108113889953
3.2800000000000002,-0.1069416099804309,0.1484047967390305
3.3000000000000003,-0.10385186031842764,0.1441562021220505
3.3200000000000003,-0.10076945848706254,0.13991525575881059
3.34,-0.09769435231202361,0.13568191649262207
3.36,-0.09462649023354242,0.13145614353459778
3.38,-0.09156582129630997,0.12723789645906558
3.4,-0.08851229513959968,0.12302713519905739
3.42,-0.08546586198760131,0.11882382004186853
3.44,-0.08242647263995173,0.11462791162468744
3.46,-0.07939407846246571,0.11043937093029588
3.48,-0.07636863137805638,0.10625815928283533
3.5,-0.07335008385784014,0.10208423834364022
3.52,-0.07033838891242705,0.0979175701071372
3.54,-0.06733350008338546,0.09375811689680713
3.56,-0.06433537143488,0.08960584136121008
3.58,-0.061343957545479055,0.08546070647007287
3.6,-0.058359213500126184,0.08132267551043515
3.62,-0.055381094882271054,0.07719171208285647
3.64,-0.05240955776615863,0.07306778009768067
3.66,-0.04944455870926934,0.0689508437713563
3.68,-0.04648605474490963,0.06484086762281582
3.7,-0.043534003374946395,0.06073781646990628
3.72,-0.04058836256268572,0.056641655425876625
3.74,-0.03764909072588796,0.05255234989591662
3.7600000000000002,-0.03471614672991896,0.04846986557374733
3.7800000000000002,-0.03178948988103436,0.04439416843826505
3.8000000000000003,-0.028869079919791152,0.04032522475023126
3.8200000000000003,-0.025954877014586653,0.03626300104901614
3.84,-0.02304684175531968,0.0322074641493868
3.86,-0.020144935147172638,0.028158581138345018
3.88,-0.017249118604511504,0.02411631937201053
3.9,-0.01435935394489829,0.020080646472551256
3.92,-0.011475603383217292,0.016051530325155716
3.94,-0.008597829525912926,0.012028939075054201
3.96,-0.005725995365329917,0.008012841124577563
3.98,-0.0028600642741615223,0.004003205130263088
4.0,0.0,0.0
4.0200000000000005,0.002854233340014556,-0.003996805109782842
4.04,0.005702671264446124,-0.007987240796890394
4.0600000000000005,0.008545348932720853,-0.011971337416094019
4.08,0.011382301150188123,-0.01594912508182489
4.1,0.014213562373094901,-0.0199206336708303
4.12,0.017039166713467946,-0.023885892824792476
4.14,0.019859147943907862,-0.027844931952907603
4.16,0.02267353950229911,-0.03179778023443258
4.18,0.025482374496436977,-0.03574446662119335
4.2,0.028285685708570152,-0.03968501984005901
4.22,0.03108350559986539,-0.04361946839538089
4.24,0.033875866314793446,-0.04754784057139927
4.26,0.03666279968543751,-0.05147016443461483
4.28,0.0394443372357266,-0.05538646783612744
4.3,0.04222051018559547,-0.05929677841394532
4.32,0.04499134945507555,-0.06320112359525953
4.34,0.0477568856683086,-0.06709953059868723
4.36,0.05051714915749961,-0.07099202643648828
4.38,0.05327216996679596,-0.07487863791674643
4.4,0.056021977856103855,-0.07875939164552548
4.42,0.058766602304837545,-0.08263431402899146
4.44,0.06150607251560869,-0.08650343127551241
4.46,0.06424041741785014,-0.09036676939772359
4.48,0.06696966567137996,-0.09422435421456954
4.5,0.06969384566990666,-0.09807621135331579
4.5200000000000005,0.07241298554447706,-0.10192236625153761
4.54,0.07512711316686194,-0.10576284415907677
4.5600000000000005,0.07783625615289314,-0.10959767013997768
4.58,0.08054044186573983,-0.11342686907439592
4.6000000000000005,0.08323969741913262,-0.11725046566048014
4.62,0.08593404968053686,-0.12106848441623164
4.64,0.08862352527427142,-0.12488094968133745
4.66,0.09130815058458008,-0.12868788561898314
4.68,0.09398795175864771,-0.13248931621763638
4.7,0.09666295470957653,-0.13628526529281348
4.72,0.09933318511930478,-0.14007575648881698
4.74,0.10199866844148697,-0.1438608132804572
4.76,0.10465942990432242,-0.14764045897474531
4.78,0.1073154945133421,-0.15141471671257056
4.8,0.10996688705414981,-0.1551836094703507
